match_id,innings,over,ball_in_over,bowler,career_economy,dot_ball_percentage,boundary_percentage
335983,1,5,6,JR Hopes,8.884,0.5,0.3333333333333333
335983,1,8,6,IK Pathan,7.675,0.16666666666666666,0.25
335983,1,12,6,WA Mota,7.833,0.5,0.0
335983,1,15,6,IK Pathan,7.675,0.2777777777777778,0.2222222222222222
335983,2,5,6,MS Gony,8.361,0.35294117647058826,0.17647058823529413
335983,2,8,6,Joginder Sharma,9.778,0.0,0.4
335983,2,12,6,P Amarnath,11.143,0.16666666666666666,0.2777777777777778
335990,1,5,6,SR Watson,7.743,0.5882352941176471,0.23529411764705882
335990,1,8,6,SK Warne,7.195,0.16666666666666666,0.0
335990,1,15,6,SK Warne,7.195,0.1111111111111111,0.2222222222222222
335990,2,5,6,PP Ojha,7.152,0.16666666666666666,0.5
335990,2,8,6,Shahid Afridi,7.577,0.3333333333333333,0.3333333333333333
335990,2,12,6,A Symonds,7.361,0.16666666666666666,0.16666666666666666
335995,1,5,6,VRV Singh,9.435,0.6666666666666666,0.16666666666666666
335995,1,8,6,PP Chawla,7.797,0.5833333333333334,0.08333333333333333
335995,2,5,6,MF Maharoof,7.381,0.16666666666666666,0.3333333333333333
335995,2,8,6,Mohammad Asif,9.179,0.5,0.2777777777777778
335996,1,5,6,Z Khan,7.581,0.5,0.2777777777777778
335996,1,8,6,B Akhil,7.426,0.16666666666666666,0.16666666666666666
335996,1,12,6,B Akhil,7.426,0.3888888888888889,0.1111111111111111
335996,2,5,6,MS Gony,8.361,0.4444444444444444,0.2222222222222222
335996,2,8,6,JA Morkel,8.198,0.18181818181818182,0.18181818181818182
335996,2,12,6,P Amarnath,11.143,0.16666666666666666,0.2222222222222222
336002,1,5,6,DW Steyn,6.808,0.4444444444444444,0.1111111111111111
336002,1,8,6,B Akhil,7.426,0.3333333333333333,0.3333333333333333
336002,1,12,6,R Vinay Kumar,8.412,0.6666666666666666,0.25
336002,2,5,6,DP Vijaykumar,7.969,0.5,0.16666666666666666
336002,2,8,6,SB Bangar,9.0,0.5,0.05555555555555555
336002,2,12,6,WPUJC Vaas,6.852,0.4444444444444444,0.2222222222222222
336003,1,5,6,AB Dinda,8.338,0.7272727272727273,0.2727272727272727
336003,1,8,6,Mohammad Hafeez,5.714,0.3333333333333333,0.3333333333333333
336003,1,12,6,Umar Gul,8.486,0.8333333333333334,0.0
336003,2,5,6,IK Pathan,7.675,0.7647058823529411,0.058823529411764705
336003,2,8,6,Gagandeep Singh,9.8,0.5,0.0
336003,2,12,6,Gagandeep Singh,9.8,0.2777777777777778,0.16666666666666666
336003,2,15,6,JR Hopes,8.884,0.3333333333333333,0.08333333333333333
336016,1,5,6,PP Chawla,7.797,0.4,0.4
336016,1,8,6,VRV Singh,9.435,0.4166666666666667,0.0
336016,2,5,6,Z Khan,7.581,0.5555555555555556,0.1111111111111111
336018,1,5,6,DJ Bravo,8.166,0.6666666666666666,0.16666666666666666
336018,1,8,6,DS Kulkarni,8.554,0.5833333333333334,0.16666666666666666
336018,1,12,6,A Nehra,7.386,0.5294117647058824,0.23529411764705882
336018,1,15,6,DJ Bravo,8.166,0.4444444444444444,0.2222222222222222
336018,2,5,6,JA Morkel,8.198,0.5294117647058824,0.47058823529411764
336018,2,8,6,L Balaji,8.098,0.7272727272727273,0.09090909090909091
336022,1,5,6,VRV Singh,9.435,0.0,0.6666666666666666
336022,1,8,6,RR Powar,7.306,0.36363636363636365,0.2727272727272727
336036,1,5,6,YK Pathan,7.482,0.8333333333333334,0.0
336036,1,8,6,SK Trivedi,7.509,0.3333333333333333,0.0
336036,1,12,6,SK Trivedi,7.509,0.29411764705882354,0.11764705882352941
336036,1,15,6,SK Warne,7.195,0.30434782608695654,0.13043478260869565
336036,2,5,6,CRD Fernando,7.963,0.8,0.0
336036,2,15,6,CRD Fernando,7.963,0.6111111111111112,0.05555555555555555
392188,1,8,6,A Kumble,6.205,0.3333333333333333,0.0
392188,1,15,6,KP Pietersen,7.25,0.3888888888888889,0.05555555555555555
392188,2,5,6,RP Singh,8.086,0.6111111111111112,0.1111111111111111
392188,2,8,6,PP Ojha,7.152,0.5,0.16666666666666666
392188,2,15,6,SB Styris,7.625,0.3333333333333333,0.16666666666666666
392212,1,5,6,DJ Bravo,8.166,0.8333333333333334,0.0
392212,1,8,6,DJ Bravo,8.166,0.6666666666666666,0.0
392212,1,12,6,ST Jayasuriya,8.171,0.4166666666666667,0.08333333333333333
392212,1,15,6,DS Kulkarni,8.554,0.5652173913043478,0.08695652173913043
392212,2,8,6,TL Suman,8.429,0.6666666666666666,0.0
392212,2,12,6,RJ Harris,7.56,0.5,0.1111111111111111
392212,2,15,6,RG Sharma,8.468,0.6666666666666666,0.0
392216,1,5,6,S Sreesanth,7.693,0.5833333333333334,0.16666666666666666
392216,1,8,6,PP Chawla,7.797,0.4166666666666667,0.16666666666666666
392216,1,15,6,IK Pathan,7.675,0.3888888888888889,0.2777777777777778
392216,2,8,6,A Symonds,7.361,0.0,0.4
392216,2,15,6,PP Ojha,7.152,0.2777777777777778,0.0
392220,1,5,6,SK Trivedi,7.509,0.5,0.3333333333333333
392220,1,8,6,SK Warne,7.195,0.08333333333333333,0.16666666666666666
392220,1,12,6,YK Pathan,7.482,0.5,0.08333333333333333
392220,2,5,6,WPUJC Vaas,6.852,0.7222222222222222,0.1111111111111111
392220,2,8,6,A Symonds,7.361,0.3888888888888889,0.1111111111111111
392220,2,15,6,RG Sharma,8.468,0.4166666666666667,0.0
392223,1,12,6,DR Smith,9.258,0.25,0.0
392223,1,15,6,RP Singh,8.086,0.4444444444444444,0.05555555555555555
392223,2,5,6,A Nehra,7.386,0.09090909090909091,0.45454545454545453
392223,2,8,6,A Mishra,7.368,0.3333333333333333,0.3333333333333333
392223,2,12,6,PJ Sangwan,8.659,0.6521739130434783,0.043478260869565216
392223,2,15,6,A Nehra,7.386,0.2222222222222222,0.3888888888888889
392228,1,5,6,A Symonds,7.361,0.8333333333333334,0.0
392228,1,8,6,Harmeet Singh,7.86,0.4166666666666667,0.08333333333333333
392228,1,12,6,RG Sharma,8.468,0.5,0.0
392228,2,5,6,BJ Hodge,7.576,0.5,0.3333333333333333
392228,2,12,6,M Kartik,7.498,0.7222222222222222,0.0
392236,1,5,6,A Symonds,7.361,0.6666666666666666,0.0
392236,1,8,6,Jaskaran Singh,9.462,0.45454545454545453,0.18181818181818182
392236,1,12,6,A Symonds,7.361,0.4444444444444444,0.0
392236,2,5,6,RE van der Merwe,6.673,0.2,0.4
392236,2,8,6,B Akhil,7.426,0.45454545454545453,0.0
392236,2,12,6,RE van der Merwe,6.673,0.4117647058823529,0.17647058823529413
392237,1,5,6,PP Ojha,7.152,0.6666666666666666,0.3333333333333333
392237,1,8,6,A Symonds,7.361,0.4166666666666667,0.25
392237,1,12,6,RG Sharma,8.468,0.0,0.0
392237,2,5,6,V Sehwag,9.3,0.2,0.8
392237,2,12,6,A Nehra,7.386,0.3888888888888889,0.2222222222222222
392237,2,15,6,PJ Sangwan,8.659,0.4166666666666667,0.25
419110,1,5,6,M Muralitharan,6.548,0.6363636363636364,0.09090909090909091
419110,1,8,6,R Ashwin,7.171,0.5833333333333334,0.08333333333333333
419110,1,12,6,R Ashwin,7.171,0.4444444444444444,0.05555555555555555
419110,1,15,6,L Balaji,8.098,0.4117647058823529,0.23529411764705882
419110,2,5,6,PP Ojha,7.152,0.5,0.0
419110,2,8,6,RG Sharma,8.468,0.5,0.08333333333333333
419112,1,5,6,JH Kallis,7.791,0.5,0.3333333333333333
419112,1,8,6,A Kumble,6.205,0.4166666666666667,0.16666666666666666
419112,1,12,6,V Kohli,8.891,0.18181818181818182,0.2727272727272727
419112,2,8,6,PP Chawla,7.797,0.4166666666666667,0.0
419112,2,15,6,Bipul Sharma,7.82,0.3333333333333333,0.08333333333333333
419113,1,5,6,LR Shukla,8.483,0.5,0.3333333333333333
419113,1,8,6,LR Shukla,8.483,0.4166666666666667,0.25
419113,1,12,6,SE Bond,7.074,0.5,0.1111111111111111
419113,2,8,6,JM Kemp,13.0,0.4,0.2
419113,2,15,6,M Muralitharan,6.548,0.5555555555555556,0.05555555555555555
419121,1,5,6,L Balaji,8.098,0.3333333333333333,0.16666666666666666
419121,1,8,6,M Muralitharan,6.548,0.6666666666666666,0.0
419121,1,12,6,R Ashwin,7.171,0.4444444444444444,0.16666666666666666
419121,2,5,6,J Theron,8.433,0.6,0.2
419121,2,8,6,RR Powar,7.306,0.6111111111111112,0.16666666666666666
419121,2,12,6,J Theron,8.433,0.6363636363636364,0.09090909090909091
419125,1,5,6,DJ Bravo,8.166,0.16666666666666666,0.3333333333333333
419125,1,8,6,Harbhajan Singh,7.15,0.3333333333333333,0.05555555555555555
419125,1,12,6,SL Malinga,6.983,0.2727272727272727,0.2727272727272727
419125,1,15,6,Z Khan,7.581,0.2222222222222222,0.2777777777777778
419125,2,5,6,L Balaji,8.098,0.3333333333333333,0.2222222222222222
419125,2,8,6,SB Jakati,8.071,0.25,0.25
419125,2,12,6,M Muralitharan,6.548,0.2777777777777778,0.05555555555555555
419134,1,5,6,S Narwal,10.714,0.5,0.1111111111111111
419134,1,8,6,SK Warne,7.195,0.3333333333333333,0.0
419134,1,15,6,SK Trivedi,7.509,0.16666666666666666,0.16666666666666666
419134,2,5,6,UT Yadav,8.358,0.5,0.16666666666666666
419134,2,8,6,A Mishra,7.368,0.5,0.16666666666666666
419137,1,8,6,SK Warne,7.195,0.5,0.0
419137,1,12,6,SK Warne,7.195,0.3333333333333333,0.16666666666666666
419137,2,5,6,JA Morkel,8.198,0.16666666666666666,0.5
419137,2,8,6,SB Jakati,8.071,0.16666666666666666,0.16666666666666666
419137,2,15,6,DE Bollinger,7.327,0.75,0.0
419141,1,5,6,A Symonds,7.361,0.3333333333333333,0.16666666666666666
419141,1,8,6,RJ Harris,7.56,0.4166666666666667,0.16666666666666666
419141,1,12,6,RJ Harris,7.56,0.4444444444444444,0.16666666666666666
419141,1,15,6,Harmeet Singh,7.86,0.4117647058823529,0.11764705882352941
419141,2,5,6,M Morkel,7.385,0.8333333333333334,0.16666666666666666
419141,2,12,6,SK Trivedi,7.509,0.4166666666666667,0.16666666666666666
419141,2,15,6,SK Warne,7.195,0.5555555555555556,0.1111111111111111
419142,1,5,6,Harbhajan Singh,7.15,0.5555555555555556,0.1111111111111111
419142,1,8,6,DJ Bravo,8.166,0.4,0.2
419142,1,12,6,SL Malinga,6.983,0.4117647058823529,0.11764705882352941
419142,1,15,6,KA Pollard,8.931,0.2222222222222222,0.1111111111111111
419142,2,5,6,R Ashwin,7.171,0.4166666666666667,0.16666666666666666
419142,2,8,6,T Thushara,7.25,0.45454545454545453,0.0
419142,2,12,6,R Ashwin,7.171,0.3888888888888889,0.1111111111111111
419143,1,5,6,YK Pathan,7.482,0.45454545454545453,0.18181818181818182
419143,1,8,6,SK Warne,7.195,0.0,0.4
419143,1,12,6,SK Trivedi,7.509,0.6363636363636364,0.09090909090909091
419143,2,5,6,PP Chawla,7.797,0.6666666666666666,0.16666666666666666
419150,1,8,6,SK Trivedi,7.509,0.16666666666666666,0.0
419150,1,12,6,SK Trivedi,7.509,0.36363636363636365,0.0
419150,1,15,6,AP Dole,9.233104533650783,0.25,0.25
419150,2,5,6,DS Kulkarni,8.554,0.5294117647058824,0.23529411764705882
419150,2,8,6,Harbhajan Singh,7.15,0.3333333333333333,0.0
419150,2,12,6,SL Malinga,6.983,0.4166666666666667,0.0
419150,2,15,6,SL Malinga,6.983,0.5,0.0
419152,1,5,6,AB McDonald,8.304,0.3333333333333333,0.0
419152,1,8,6,PD Collingwood,6.915,0.16666666666666666,0.0
419152,1,12,6,PD Collingwood,6.915,0.16666666666666666,0.05555555555555555
419152,2,5,6,DJ Bravo,8.166,0.0,0.4
419152,2,8,6,KA Pollard,8.931,0.3333333333333333,0.0
419152,2,12,6,KA Pollard,8.931,0.4444444444444444,0.0
419152,2,15,6,Harbhajan Singh,7.15,0.2777777777777778,0.1111111111111111
419157,1,5,6,JH Kallis,7.791,0.3333333333333333,0.0
419157,1,8,6,Pankaj Singh,8.929,0.6470588235294118,0.23529411764705882
419157,1,12,6,JH Kallis,7.791,0.3888888888888889,0.16666666666666666
419157,2,5,6,R McLaren,9.778,0.3333333333333333,0.0
419157,2,8,6,Harbhajan Singh,7.15,0.4166666666666667,0.16666666666666666
501209,1,5,6,B Lee,7.358,0.75,0.08333333333333333
501209,1,15,6,L Balaji,8.098,0.5555555555555556,0.16666666666666666
501209,2,5,6,A Singh,8.161,0.5,0.4166666666666667
501209,2,12,6,SK Trivedi,7.509,0.3333333333333333,0.08333333333333333
501210,1,5,6,NLTC Perera,8.201,0.6666666666666666,0.3333333333333333
501210,1,8,6,RV Gomez,7.778,0.5,0.08333333333333333
501210,1,12,6,NLTC Perera,8.201,0.4444444444444444,0.16666666666666666
501210,1,15,6,R Vinay Kumar,8.412,0.4375,0.25
501210,2,5,6,KA Pollard,8.931,0.0,0.4
501210,2,8,6,KA Pollard,8.931,0.18181818181818182,0.45454545454545453
501210,2,12,6,AG Murtaza,8.318,0.5294117647058824,0.11764705882352941
501212,1,5,6,R McLaren,9.778,0.5,0.3333333333333333
501212,1,15,6,RJ Harris,7.56,0.3333333333333333,0.16666666666666666
501212,2,5,6,I Sharma,8.38,0.6666666666666666,0.1111111111111111
501212,2,8,6,DT Christian,8.035,0.16666666666666666,0.5
501221,1,5,6,Joginder Sharma,9.778,0.6,0.0
501221,1,8,6,R Ashwin,7.171,0.5,0.0
501221,1,12,6,R Ashwin,7.171,0.4117647058823529,0.058823529411764705
501221,2,5,6,MM Patel,7.226,0.5555555555555556,0.2777777777777778
501221,2,12,6,KA Pollard,8.931,0.5,0.08333333333333333
501221,2,15,6,Harbhajan Singh,7.15,0.29411764705882354,0.058823529411764705
501224,1,5,6,I Sharma,8.38,0.36363636363636365,0.36363636363636365
501224,1,8,6,A Mishra,7.368,0.6666666666666666,0.08333333333333333
501224,1,15,6,I Sharma,8.38,0.3333333333333333,0.3333333333333333
501224,2,5,6,SL Malinga,6.983,0.6666666666666666,0.0
501224,2,8,6,R Sathish,10.4,0.3333333333333333,0.16666666666666666
501224,2,12,6,AN Ahmed,7.607,0.3888888888888889,0.1111111111111111
501224,2,15,6,SL Malinga,6.983,0.6111111111111112,0.0
501225,1,5,6,A Singh,8.161,0.4444444444444444,0.1111111111111111
501225,1,8,6,J Botha,7.204,0.5,0.05555555555555555
501225,1,12,6,SK Trivedi,7.509,0.3333333333333333,0.16666666666666666
501225,2,5,6,M Muralitharan,6.548,0.6666666666666666,0.08333333333333333
501225,2,12,6,M Muralitharan,6.548,0.5555555555555556,0.16666666666666666
501226,1,5,6,M Kartik,7.498,0.3333333333333333,0.3333333333333333
501226,1,8,6,R Sharma,6.895,0.5,0.0
501226,1,15,6,AC Thomas,8.0,0.35294117647058826,0.11764705882352941
501226,2,5,6,R Ashwin,7.171,0.75,0.08333333333333333
501226,2,8,6,S Randiv,7.611,0.5,0.0
501226,2,12,6,DE Bollinger,7.327,0.36363636363636365,0.09090909090909091
501229,1,5,6,R Vinay Kumar,8.412,0.8333333333333334,0.0
501229,1,8,6,NLTC Perera,8.201,0.5,0.0
501229,1,12,6,RA Jadeja,7.679,0.0,0.16666666666666666
501229,2,8,6,DT Christian,8.035,0.7272727272727273,0.0
501230,1,5,6,UT Yadav,8.358,0.3333333333333333,0.16666666666666666
501230,1,8,6,AB Agarkar,8.853,0.4166666666666667,0.08333333333333333
501230,1,12,6,M Morkel,7.385,0.5,0.3333333333333333
501230,2,5,6,Iqbal Abdulla,7.307,0.6,0.2
501230,2,8,6,JD Unadkat,8.955,0.5555555555555556,0.1111111111111111
501230,2,12,6,Iqbal Abdulla,7.307,0.4444444444444444,0.05555555555555555
501230,2,15,6,B Lee,7.358,0.4375,0.125
501231,1,5,6,A Singh,8.161,0.6111111111111112,0.05555555555555555
501231,1,12,6,SR Watson,7.743,0.5625,0.0625
501231,1,15,6,J Botha,7.204,0.5,0.0
501231,2,5,6,AG Murtaza,8.318,0.5833333333333334,0.0
501231,2,8,6,Harbhajan Singh,7.15,0.4166666666666667,0.08333333333333333
501231,2,15,6,KA Pollard,8.931,0.36363636363636365,0.09090909090909091
501240,1,5,6,R Ashwin,7.171,0.16666666666666666,0.3333333333333333
501240,1,8,6,SB Jakati,8.071,0.25,0.08333333333333333
501240,1,12,6,R Ashwin,7.171,0.2777777777777778,0.2777777777777778
501240,2,5,6,J Botha,7.204,0.3888888888888889,0.05555555555555555
501240,2,8,6,SR Watson,7.743,0.25,0.16666666666666666
501240,2,15,6,SK Trivedi,7.509,0.1111111111111111,0.1111111111111111
501243,1,5,6,M Morkel,7.385,0.5,0.4166666666666667
501243,1,8,6,AB Agarkar,8.853,0.4166666666666667,0.0
501243,1,12,6,AM Salvi,8.286,0.5294117647058824,0.11764705882352941
501243,2,5,6,I Sharma,8.38,0.7647058823529411,0.058823529411764705
501243,2,8,6,DT Christian,8.035,0.3333333333333333,0.1111111111111111
501243,2,12,6,DW Steyn,6.808,0.5555555555555556,0.16666666666666666
501250,1,5,6,WD Parnell,7.392,0.3333333333333333,0.25
501250,1,8,6,Yuvraj Singh,7.454,0.3333333333333333,0.0
501250,1,12,6,R Sharma,6.895,0.2222222222222222,0.05555555555555555
501250,1,15,6,MR Marsh,8.613,0.2777777777777778,0.1111111111111111
501250,2,5,6,A Mishra,7.368,0.5,0.3333333333333333
501250,2,12,6,DT Christian,8.035,0.5833333333333334,0.08333333333333333
501254,1,5,6,SJ Srivastava,9.55,0.2727272727272727,0.18181818181818182
501254,1,8,6,Bipul Sharma,7.82,0.4166666666666667,0.25
501254,1,12,6,BA Bhatt,7.748,0.4444444444444444,0.1111111111111111
501254,1,15,6,RJ Harris,7.56,0.3333333333333333,0.2777777777777778
501254,2,5,6,S Sreesanth,7.693,0.3333333333333333,0.2222222222222222
501254,2,8,6,R Vinay Kumar,8.412,0.5833333333333334,0.25
501254,2,12,6,RA Jadeja,7.679,0.3333333333333333,0.3333333333333333
501254,2,15,6,RA Jadeja,7.679,0.3333333333333333,0.16666666666666666
501256,1,5,6,DS Kulkarni,8.554,0.16666666666666666,0.16666666666666666
501256,1,12,6,SL Malinga,6.983,0.6666666666666666,0.0
501256,1,15,6,SL Malinga,6.983,0.6111111111111112,0.05555555555555555
501256,2,5,6,I Sharma,8.38,0.5555555555555556,0.05555555555555555
501256,2,8,6,DT Christian,8.035,0.3333333333333333,0.16666666666666666
501256,2,12,6,DT Christian,8.035,0.4117647058823529,0.11764705882352941
501256,2,15,6,Anand Rajan,7.969,0.4166666666666667,0.08333333333333333
501265,1,5,6,SS Mundhe,9.233104533650783,0.8,0.2
501265,1,8,6,MR Marsh,8.613,0.25,0.0
501270,1,5,6,SL Malinga,6.983,0.5833333333333334,0.16666666666666666
501270,1,8,6,KA Pollard,8.931,0.0,0.2
501270,1,12,6,KA Pollard,8.931,0.29411764705882354,0.058823529411764705
501270,1,15,6,AN Ahmed,7.607,0.23529411764705882,0.29411764705882354
501270,2,5,6,S Aravind,8.041,0.47058823529411764,0.23529411764705882
501270,2,8,6,DL Vettori,6.791,0.25,0.08333333333333333
501270,2,15,6,J Syed Mohammad,8.815,0.4444444444444444,0.1111111111111111
548310,1,5,6,M Morkel,7.385,0.6666666666666666,0.16666666666666666
548310,1,8,6,GJ Maxwell,8.395,0.3333333333333333,0.0
548310,1,12,6,S Nadeem,7.477,0.3888888888888889,0.1111111111111111
548310,2,5,6,AB McDonald,8.304,0.5,0.16666666666666666
548310,2,8,6,DL Vettori,6.791,0.25,0.08333333333333333
548310,2,12,6,HV Patel,8.871,0.5,0.0
548311,1,5,6,DT Christian,8.035,0.5,0.16666666666666666
548311,1,8,6,TP Sudhindra,11.739,0.4,0.0
548311,1,12,6,DT Christian,8.035,0.5,0.05555555555555555
548311,2,5,6,DE Bollinger,7.327,0.5,0.3333333333333333
548311,2,12,6,RA Jadeja,7.679,0.6666666666666666,0.16666666666666666
548320,1,8,6,Shakib Al Hasan,7.433,0.5833333333333334,0.0
548320,1,12,6,SP Narine,6.887,0.4166666666666667,0.16666666666666666
548320,1,15,6,R Bhatia,7.358,0.2727272727272727,0.18181818181818182
548320,2,5,6,A Singh,8.161,0.3888888888888889,0.1111111111111111
548320,2,8,6,SK Trivedi,7.509,0.0,0.16666666666666666
548320,2,15,6,SK Trivedi,7.509,0.0,0.08333333333333333
548327,1,5,6,DL Vettori,6.791,0.3333333333333333,0.3333333333333333
548327,1,8,6,HV Patel,8.871,0.3888888888888889,0.2222222222222222
548327,1,12,6,DL Vettori,6.791,0.2777777777777778,0.1111111111111111
548327,1,15,6,Z Khan,7.581,0.16666666666666666,0.1111111111111111
548327,2,5,6,MN Samuels,7.888,0.6666666666666666,0.0
548327,2,8,6,B Kumar,7.775,0.5,0.1111111111111111
548327,2,15,6,A Nehra,7.386,0.47058823529411764,0.23529411764705882
548334,1,5,6,Azhar Mahmood,7.424,0.2,0.4
548334,1,8,6,PP Chawla,7.797,0.3333333333333333,0.0
